ASO_dose,Time,ID,Cage,Weight,Tail_length
MOE50,P21,151,c8,6.3,2.9
MOE50,P28,152,c8,9.3,2
MOE50,P35,153,c8,13,2.9
MOE50,P42,154,c8,16,2.9
MOE50,P49,155,c8,16.1,2.7
MOE50,P56,156,c8,17.3,2.9
MOE50,P63,157,c8,17.9,2.9
MOE50,P70,158,c8,18.1,3
MOE50,P77,159,c8,18.8,3
MOE50,P84,160,c8,19.4,3
MOE50,P91,161,c8,17.7,2.9
MOE50,P98,162,c8,19,0.7
MOE50,P7,163,c8,4.3,2.4
MOE50,P14,164,c8,7,2.6
MOE50,P21,165,c8,6.4,2.9
MOE50,P28,166,c8,9.8,2.8
MOE50,P35,167,c8,14,3
MOE50,P42,168,c8,15.2,2.9
MOE50,P49,169,c8,17.2,2.8
MOE50,P56,170,c8,16.9,2.8
MOE50,P7,171,c8,3.4,2
MOE50,P14,172,c8,5.2,2.4
MOE50,P21,173,c8,6.5,3
MOE50,P28,174,c8,10.5,3
MOE50,P35,175,c8,12.3,2.8
MOE50,P42,176,c8,15.5,2.8
MOE50,P49,177,c8,16.8,2.8
MOE50,P7,178,c8,3,1.9
MOE50,P14,179,c8,5.3,2.4
MOE50,P21,180,c8,2.6,2.2
MOE100,P7,181,c1,1.8,1.8
MOE100,P7,182,c1,4.5,2.2
MOE100,P7,183,c1,3.8,1.9
MOE100,P7,184,c2,4,2.3
MOE100,P14,185,c2,7,2.8
MOE100,P21,186,c2,6,3
MOE100,P28,187,c2,15.3,3.1
MOE100,P35,188,c2,17.4,3.1
MOE100,P42,189,c2,18.5,3
MOE100,P49,190,c2,20,2.7
MOE100,P56,191,c2,21.1,2.7
MOE100,P63,192,c2,20.8,2.7
MOE100,P7,193,c2,3.8,2.2
MOE100,P14,194,c2,6.8,2.9
MOE100,P21,195,c2,7.9,3.1
MOE100,P7,196,c2,4.8,2.2
MOE100,P7,197,c3,2.4,1.7
MOE100,P7,198,c4,1.4,1.8
MOE100,P14,199,c4,4.7,2.7
MOE100,P21,200,c4,4.6,2.7
MOE100,P7,201,c4,3.4,2
MOE100,P14,202,c4,3.9,2
MOE100,P21,203,c4,5.8,2.2
MOE100,P7,204,c4,3.3,2
MOE100,P7,205,c5,3,1.9
MOE100,P14,206,c5,5.8,3
MOE100,P21,207,c5,6,3.3
MOE100,P28,208,c5,10.8,3.3
MOE100,P35,209,c5,12.8,3.3
MOE100,P42,210,c5,14.8,3.3
MOE100,P7,211,c5,3.5,2.2
MOE100,P14,212,c5,3.9,2.4
MOE100,P21,213,c5,3.1,2.2
MOE100,P7,214,c6,3.2,1.9
MOE100,P14,215,c6,6.1,2.7
MOE100,P21,216,c6,6.6,2.8
MOE100,P28,217,c6,9.5,2.8
MOE100,P35,218,c6,14.3,3
MOE100,P42,219,c6,15.7,2.8
MOE100,P49,220,c6,17.6,2.5
MOE100,P56,221,c6,17.5,2.5
MOE100,P63,222,c6,18.3,3
MOE100,P70,223,c6,18.5,2.5
MOE100,P77,224,c6,17.3,2.2
MOE100,P84,225,c6,16.3,2
MOE100,P7,226,c6,1.9,1.6
MOE100,P7,227,c6,1.7,1.5
MOE100,P7,228,c7,4.1,1.8
MOE100,P14,229,c7,7.5,1.9
MOE100,P21,230,c7,7.8,2.2
MOE100,P28,231,c7,12.6,2.2
MOE100,P35,232,c7,12.2,3.2
MOE100,P42,233,c7,14.5,2.9
MOE100,P49,234,c7,15.7,3.3
MOE100,P56,235,c7,15.8,2.7
MOE100,P63,236,c7,17.3,3
MOE100,P70,237,c7,18.6,2.7
MOE100,P77,238,c7,17.8,3
MOE100,P84,239,c7,19.8,3.2
MOE100,P91,240,c7,26.2,0
MOE100,P98,241,c7,22,3.2
MOE100,P7,242,c7,3,1.9
MOE100,P14,243,c7,5.7,2.5
MOE100,P21,244,c7,5,2.4
MOE100,P28,245,c7,4.4,2.4
MOE100,P35,246,c7,12.8,3.1
MOE100,P42,247,c7,17.5,2.2
MOE100,P49,248,c7,19.6,2.2
MOE100,P56,249,c7,16.7,3.3
MOE100,P63,250,c7,22.6,2.6
MOE100,P70,251,c7,18.8,3.2
MOE100,P77,252,c7,20,3.3
MOE100,P84,253,c7,25.2,0
MOE100,P91,254,c7,22.7,3.2
MOE100,P98,255,c7,19.8,0
MOE100,P7,256,c7,2.7,1.9
MOE100,P14,257,c7,4.8,2.3
MOE100,P21,258,c7,5.7,2.8
MOE100,P28,259,c7,8,2
MOE100,P35,260,c7,14.9,2.4
MOE100,P42,261,c7,15.1,3.1
MOE100,P49,262,c7,16.5,3.3
MOE100,P56,263,c7,20.8,2.6
MOE100,P63,264,c7,18,3.3
MOE100,P70,265,c7,19.1,3.3
MOE100,P77,266,c7,24.3,2.2
MOE100,P84,267,c7,20.1,3.2
MOE100,P91,268,c7,20.3,0
MOE100,P98,269,c7,29.5,0
MOE100,P7,270,c7,2.9,2.1
MOE100,P14,271,c7,5.3,2.9
MOE100,P21,272,c7,6.9,3.1
MOE100,P28,273,c7,9.3,3.1
MOE100,P35,274,c7,11.8,2.8
MOE100,P42,275,c7,14.6,3.2
MOE100,P49,276,c7,14.5,2.9
MOE100,P56,277,c7,17.1,3.3
MOE100,P63,278,c7,19.3,3.3
MOE100,P70,279,c7,25.9,2.2
MOE100,P77,280,c7,19.2,3.3
MOE100,P7,281,c7,2.7,1.9
MOE100,P14,282,c7,5.6,2.8
MOE100,P21,283,c7,6.9,3.1
MOE100,P28,284,c7,10,3.1
MOE100,P7,285,c7,2.7,2
MOE100,P14,286,c7,3.3,2.3
MOE100,P7,287,c8,3.7,2.1
MOE100,P14,288,c8,6.2,2.8
MOE100,P21,289,c8,10,2.8
MOE100,P28,290,c8,10.4,2.9
MOE100,P35,291,c8,16.3,2.7
MOE100,P42,292,c8,18,2.9
MOE100,P49,293,c8,17.3,2.9
MOE100,P56,294,c8,20.7,2.7
MOE100,P63,295,c8,20.5,2.7
MOE100,P70,296,c8,21.5,2.7
MOE100,P77,297,c8,22.4,2.7
MOE100,P84,298,c8,20.5,2.7
MOE100,P7,299,c8,3.5,1.7
MOE100,P14,300,c8,5.8,2.6
MOE100,P21,301,c8,6.2,2.9
MOE100,P28,302,c8,11.7,2.8
MOE100,P35,303,c8,15.8,2.9
MOE100,P42,304,c8,17,2.8
MOE100,P49,305,c8,19.3,2.7
MOE100,P56,306,c8,16.6,2.7
MOE100,P7,307,c8,3.3,1.9
MOE100,P14,308,c8,4.6,2.1
MOE100,P21,309,c8,4.1,2.2
MOE100,P7,310,c8,2.8,1.9
MOE100,P14,311,c8,3.7,2.7
MOE100,P21,312,c8,3.9,2.7
MOE100,P7,313,c8,1.7,1.3
MOE100,P7,314,c9,3.9,1.8
MOE100,P7,315,c10,3.3,1.9
MOE100,P14,316,c10,5.9,2.8
MOE100,P21,317,c10,6.3,2.9
MOE100,P28,318,c10,9,3
MOE100,P35,319,c10,15.8,2.7
MOE100,P42,320,c10,16.1,2.7
MOE100,P49,321,c10,16.5,2.7
MOE100,P56,322,c10,17.3,2.7
MOE100,P63,323,c10,18.1,2.7
MOE100,P70,324,c10,19,2.7
MOE100,P77,325,c10,18.8,2.7
MOE100,P84,326,c10,19.4,2.7
MOE100,P91,327,c10,19.9,2.5
MOE100,P98,328,c10,19.5,2.5
MOE100,P7,329,c10,2.3,1.9
MOE100,P14,330,c10,3.1,1.8
MOE100,P21,331,c10,8.5,2.7
MOE100,P28,332,c10,12.6,2.7
MOE100,P35,333,c10,8.8,2.9
MOE100,P7,334,c10,1.6,1.5
MOE100,P7,335,c10,3.3,1.6
MOE100,P7,336,c10,3.1,1.9
MOE100,P7,337,c10,1.9,1.4
MOE100,P7,338,c10,1.9,1.8
MOE100,P7,339,c10,1.5,1.6
MOE100,P7,340,c11,3.8,2.1
MOE100,P14,341,c11,5.5,2.2
MOE100,P21,342,c11,9.2,3.4
MOE100,P28,343,c11,15.8,3.4
MOE100,P35,344,c11,19.7,3.5
MOE100,P42,345,c11,16,2.5
MOE100,P49,346,c11,22.4,3.4
MOE100,P56,347,c11,19.2,3
MOE100,P63,348,c11,25.3,3.4
MOE100,P70,349,c11,20.1,1
MOE100,P77,350,c11,23.1,2.5
MOE100,P84,351,c11,22.5,0.5
MOE100,P91,352,c11,23.2,0
MOE100,P98,353,c11,19.9,0
MOE100,P7,354,c11,3.6,1.9
MOE100,P14,355,c11,7.2,3
MOE100,P21,356,c11,9.3,3.4
MOE100,P28,357,c11,15.7,3.5
MOE100,P35,358,c11,12.9,2.6
MOE100,P42,359,c11,15.3,2.5
MOE100,P49,360,c11,15.8,2.4
MOE100,P56,361,c11,24.5,3.2
MOE100,P63,362,c11,26.7,3.2
MOE100,P70,363,c11,26,3.2
MOE100,P77,364,c11,19.6,0.5
MOE100,P84,365,c11,20.5,0
MOE100,P91,366,c11,20.8,0
MOE100,P98,367,c11,23,0
MOE100,P7,368,c11,3.9,2
MOE100,P14,369,c11,7.4,3.4
MOE100,P21,370,c11,6,2.4
MOE100,P28,371,c11,11.3,3.5
MOE100,P35,372,c11,13.8,20.3
MOE100,P42,373,c11,16.2,3
MOE100,P49,374,c11,21.3,3.5
MOE100,P56,375,c11,25,3.5
MOE100,P63,376,c11,19.3,2
MOE100,P7,377,c11,2.8,2
MOE100,P14,378,c11,5.8,3.1
MOE100,P21,379,c11,6.1,2.6
MOE100,P28,380,c11,9.4,2.7
MOE100,P35,381,c11,14.4,2.5
MOE100,P42,382,c11,21.3,2.4
MOE100,P49,383,c11,18,2.9
MOE100,P7,384,c11,4.4,2.3
MOE100,P14,385,c11,5.6,2.4
MOE100,P21,386,c11,7,3.4
MOE100,P28,387,c11,7.4,2.2
MOE100,P42,389,c11,21.8,3.4
MOE200,P7,390,c1,2.2,1.8
MOE200,P14,391,c1,3.8,2.3
MOE200,P21,392,c1,3.5,3
MOE200,P7,393,c2,3.7,2.2
MOE200,P14,394,c2,6.8,3.2
MOE200,P21,395,c2,8.3,3.6
MOE200,P28,396,c2,12.4,3.7
MOE200,P35,397,c2,9.2,2.8
MOE200,P42,398,c2,10.8,2
MOE200,P49,399,c2,19.2,3.7
MOE200,P56,400,c2,19.8,3.7
MOE200,P7,401,c2,2.9,2
MOE200,P14,402,c2,4.7,2.3
MOE200,P21,403,c2,5.6,2.7
MOE200,P28,404,c2,7.2,2.8
MOE200,P35,405,c2,14.8,3.5
MOE200,P42,406,c2,16.8,3.5
MOE200,P49,407,c2,13.1,1.3
MOE200,P56,408,c2,13.3,0
MOE200,P7,409,c3,4.7,2
MOE200,P14,410,c3,10.3,3
MOE200,P21,411,c3,12.2,3.1
MOE200,P28,412,c3,18.3,3.2
MOE200,P35,413,c3,20.8,3.2
MOE200,P42,414,c3,23.2,3.2
MOE200,P49,415,c3,24.5,3.2
MOE200,P56,416,c3,25.6,3.2
MOE200,P7,417,c4,3,1.8
MOE200,P14,418,c4,6.8,2.8
MOE200,P21,419,c4,7.4,3.1
MOE200,P28,420,c4,7.8,3.1
MOE200,P35,421,c4,13,2.7
MOE200,P42,422,c4,14.9,1.9
MOE200,P49,423,c4,16.1,1.6
MOE200,P56,424,c4,13.6,1.4
MOE200,P63,425,c4,12.8,1.3
MOE200,P7,426,c5,4.5,2.5
MOE200,P14,427,c5,7.6,3.4
MOE200,P21,428,c5,9.5,4.5
MOE200,P28,429,c5,15.2,4.7
MOE200,P35,430,c5,17.5,4.7
MOE200,P42,431,c5,19.3,4.8
MOE200,P49,432,c5,21.6,4.8
MOE200,P56,433,c5,22.5,4.2
MOE200,P63,434,c5,22.9,5
MOE200,P70,435,c5,21.4,0
MOE200,P77,436,c5,21.8,0.3
MOE200,P84,437,c5,22.7,0.7
MOE200,P91,438,c5,22,0
MOE200,P98,439,c5,20.8,0
MOE200,P7,440,c5,4,2.5
MOE200,P14,441,c5,7.5,3.8
MOE200,P21,442,c5,8.4,3.9
MOE200,P28,443,c5,14.4,3.8
MOE200,P35,444,c5,17.7,4.1
MOE200,P42,445,c5,19,3.9
MOE200,P49,446,c5,21.4,2.9
MOE200,P56,447,c5,22.9,5
MOE200,P63,448,c5,20,0
MOE200,P70,449,c5,22.8,4.1
MOE200,P77,450,c5,22.5,0
MOE200,P84,451,c5,22.9,0
MOE200,P91,452,c5,23.2,0
MOE200,P98,453,c5,24.3,0
MOE200,P7,454,c5,3.9,2.4
MOE200,P14,455,c5,7.4,3.3
MOE200,P21,456,c5,8.6,3.8
MOE200,P28,457,c5,14.1,4.1
MOE200,P35,458,c5,16.8,3.9
MOE200,P42,459,c5,18.9,4.1
MOE200,P49,460,c5,18.9,4
MOE200,P56,461,c5,19.6,3.7
MOE200,P63,462,c5,23.5,4.1
MOE200,P70,463,c5,25.4,5
MOE200,P77,464,c5,21.6,4.7
MOE200,P84,465,c5,22.7,0
MOE200,P7,466,c5,3.2,2.1
MOE200,P7,467,c6,4.1,2.1
MOE200,P14,468,c6,7.4,2.8
MOE200,P21,469,c6,8.2,3
MOE200,P28,470,c6,15.9,4.2
MOE200,P35,471,c6,18.9,4
MOE200,P42,472,c6,21.4,4
MOE200,P49,473,c6,18.9,1.7
MOE200,P56,474,c6,20.2,1.7
MOE200,P63,475,c6,20.6,1.3
MOE200,P70,476,c6,19.4,3
MOE200,P77,477,c6,20.8,0.5
MOE200,P84,478,c6,22.2,0.5
MOE200,P91,479,c6,20,2.7
MOE200,P98,480,c6,21.4,0
MOE200,P7,481,c6,3,2.1
MOE200,P14,482,c6,7.5,3.2
MOE200,P21,483,c6,8.8,4
MOE200,P28,484,c6,11.5,2.8
MOE200,P35,485,c6,13,2.8
MOE200,P42,486,c6,16.8,2
MOE200,P49,487,c6,16.1,3.2
MOE200,P56,488,c6,23,4
MOE200,P63,489,c6,24.6,4
MOE200,P70,490,c6,25.3,4
MOE200,P77,491,c6,21.6,3.7
MOE200,P84,492,c6,19.9,3
MOE200,P91,493,c6,22,0
MOE200,P98,494,c6,21.8,0
MOE200,P7,495,c6,3.7,2.3
MOE200,P14,496,c6,6,2.7
MOE200,P21,497,c6,7.2,2.8
MOE200,P28,498,c6,13.8,3
MOE200,P35,499,c6,13.8,3
MOE200,P42,500,c6,15.3,3.2
MOE200,P49,501,c6,22.3,4
MOE200,P56,502,c6,16.7,3.1
MOE200,P63,503,c6,17.3,3.1
MOE200,P70,504,c6,22.2,0.7
MOE200,P77,505,c6,19.6,3
MOE200,P7,506,c7,4.3,2.1
MOE200,P14,507,c7,6,2.7
MOE200,P21,508,c7,8.8,3
MOE200,P28,509,c7,15.7,3.4
MOE200,P35,510,c7,19.6,3.1
MOE200,P42,511,c7,20.9,3.1
MOE200,P49,512,c7,22,3.1
MOE200,P56,513,c7,22.7,3
MOE200,P63,514,c7,21.2,3
MOE200,P7,515,c7,4.2,2.2
MOE200,P7,516,c8,4.4,2.2
MOE200,P14,517,c8,9.4,3.8
MOE200,P21,518,c8,10.1,3.2
MOE200,P28,519,c8,19.2,4.3
MOE200,P35,520,c8,21.1,4.3
MOE200,P42,521,c8,22.2,3.7
MOE200,P49,522,c8,21.8,3.3
MOE200,P56,523,c8,24.5,2.1
MOE200,P63,524,c8,22.4,3
MOE200,P70,525,c8,22.7,0.7
MOE200,P77,526,c8,20.5,0
MOE200,P84,527,c8,19.7,0
MOE200,P91,528,c8,21.2,0
MOE200,P98,529,c8,25.3,0
MOE200,P7,530,c8,3.7,2.1
MOE200,P14,531,c8,8,2.8
MOE200,P21,532,c8,11.4,4.3
MOE200,P28,533,c8,14.3,4.2
MOE200,P35,534,c8,19.8,3.1
MOE200,P42,535,c8,21.2,3.1
MOE200,P49,536,c8,23.4,2.7
MOE200,P56,537,c8,22.3,4.2
MOE200,P63,538,c8,22.6,4.3
MOE200,P70,539,c8,21.2,1.2
MOE200,P77,540,c8,23,0
MOE200,P84,541,c8,23.8,0
MOE200,P91,542,c8,21,0
MOE200,P98,543,c8,23.5,0
MOE200,P7,544,c8,4.1,2.2
MOE200,P14,545,c8,8,3.7
MOE200,P21,546,c8,9.5,3.9
MOE200,P28,547,c8,16.5,3.2
MOE200,P35,548,c8,18.4,4.2
MOE200,P42,549,c8,20.6,4.2
MOE200,P49,550,c8,20.7,4.2
MOE200,P56,551,c8,23,3
MOE200,P63,552,c8,19.8,1.7
MOE200,P70,553,c8,23.2,4.2
MOE200,P77,554,c8,22.8,4
MOE200,P84,555,c8,22.3,0
MOE200,P91,556,c8,24.8,0
MOE200,P7,557,c8,3.5,2
MOE200,P7,558,c9,3.8,2.2
MOE200,P14,559,c9,7.4,3.4
MOE200,P21,560,c9,9.1,3.7
MOE200,P28,561,c9,15.2,3.3
MOE200,P35,562,c9,16.2,3.4
MOE200,P42,563,c9,19,3.2
MOE200,P49,564,c9,21,1.9
MOE200,P56,565,c9,21.7,1.7
MOE200,P63,566,c9,22.8,0.7
MOE200,P70,567,c9,23.7,0
MOE200,P77,568,c9,26.1,0
MOE200,P84,569,c9,25.3,0
MOE200,P91,570,c9,26.4,0
MOE200,P98,571,c9,16.9,0
MOE200,P7,572,c9,3.7,2
MOE200,P14,573,c9,5.9,2.2
MOE200,P21,574,c9,6.9,2.2
MOE200,P28,575,c9,17.1,4
MOE200,P35,576,c9,19.6,4
MOE200,P42,577,c9,12,0
MOE200,P49,578,c9,18.8,2.4
MOE200,P56,579,c9,24.6,3.4
MOE200,P63,580,c9,25.5,2.4
MOE200,P70,581,c9,16.8,0
MOE200,P77,582,c9,27,0.9
MOE200,P84,583,c9,26.1,0.5
MOE200,P91,584,c9,18.8,0
MOE200,P98,585,c9,23.4,0
MOE200,P7,586,c9,3.5,2.1
MOE200,P14,587,c9,6.1,2.4
MOE200,P21,588,c9,7.5,2.6
MOE200,P28,589,c9,12.8,2.5
MOE200,P35,590,c9,15.5,2.5
MOE200,P42,591,c9,21.5,3.4
MOE200,P49,592,c9,13.8,0
MOE200,P56,593,c9,15.9,0
MOE200,P63,594,c9,20.8,2.4
MOE200,P70,595,c9,26.6,1.5
MOE200,P77,596,c9,17.8,0
MOE200,P84,597,c9,17.3,0
MOE200,P91,598,c9,25.1,0
MOE200,P98,599,c9,23.8,0
MOE200,P7,600,c9,3.8,2
MOE200,P14,601,c9,7.6,3
MOE200,P21,602,c9,5.3,3.2
MOE200,P28,603,c9,9.3,0.7
MOE200,P35,604,c9,9.3,0.5
MOE200,P42,605,c9,17,2.4
MOE200,P49,606,c9,23.5,3.4
MOE200,P56,607,c9,19.2,2.4
MOE200,P63,608,c9,15.9,0
MOE200,P70,609,c9,21.2,2.4
MOE200,P7,610,c9,3.9,2.2
MOE400,P7,611,c1,5,3
MOE400,P14,612,c1,5.5,3.5
MOE400,P7,613,c2,1.6,1.9
MOE400,P14,614,c2,2.3,2
MOE400,P21,615,c2,5.5,3.5
MOE400,P7,616,c2,3,1.8
MOE400,P7,617,c3,2.2,1.6
MOE400,P7,618,c4,1.9,1.6
MOE400,P14,619,c4,2.8,2.5
MOE400,P7,620,c4,2,1.4
MOE400,P7,621,c4,1.6,1.5
MOE400,P7,622,c4,3.5,1.8
MOE400,P7,623,c5,4.1,2.4
MOE400,P7,624,c5,1.8,1.9
MOE400,P7,625,c6,3.3,1.9
MOE400,P14,626,c6,7.5,3.2
MOE400,P21,627,c6,7.9,3.3
MOE400,P28,628,c6,14,3.4
MOE400,P35,629,c6,17.2,3.4
MOE400,P42,630,c6,18.2,3.4
MOE400,P49,631,c6,18.3,3.4
MOE400,P56,632,c6,17.5,3.4
MOE400,P63,633,c6,16.8,0
MOE400,P70,634,c6,13.1,0
MOE400,P7,635,c6,3.2,2
MOE400,P14,636,c6,6.1,2.2
MOE400,P21,637,c6,6,2.3
MOE400,P28,638,c6,4.6,2.3
MOE400,P7,639,c7,3.7,1.8
MOE400,P14,640,c7,7.4,3
MOE400,P21,641,c7,9.2,3.1
MOE400,P28,642,c7,14.2,3.1
MOE400,P35,643,c7,15.9,3.2
MOE400,P42,644,c7,17.2,3.1
MOE400,P49,645,c7,18.5,3.1
MOE400,P56,646,c7,17.8,2.6
MOE400,P63,647,c7,19.2,0
MOE400,P70,648,c7,20,0
MOE400,P77,649,c7,20.5,0
MOE400,P84,650,c7,20,0
MOE400,P91,651,c7,21.2,0
MOE400,P98,652,c7,20.4,0
MOE400,P7,653,c7,3,1.7
MOE400,P14,654,c7,3.8,2
MOE400,P7,655,c7,3.8,2
MOE400,P7,656,c8,4.6,2.1
MOE400,P7,657,c8,4.6,2.2
MOE400,P7,658,c9,3.7,2.1
MOE400,P14,659,c9,9.3,3.7
MOE400,P7,660,c10,3.2,1.7
MOE400,P14,661,c10,6.5,3.9
MOE400,P56,662,c10,19.7,4
MOE400,P63,663,c10,21.3,4
MOE400,P70,664,c10,20.5,4.2
MOE400,P77,665,c10,21.6,4.2
MOE400,P84,666,c10,23,4.2
MOE400,P91,667,c10,23.9,4.2
MOE400,P98,668,c10,22.9,4.2
MOE400,P7,669,c10,2.9,1.8
MOE400,P7,670,c10,2.9,1.8
MOE400,P7,671,c10,2.2,1.5
MOE400,P7,672,c10,2.1,1.7
MOE400,P7,673,c11,2.5,1.7
MOE400,P14,674,c11,4.4,2
MOE400,P7,675,c11,2.6,1.7
MOE400,P7,676,c12,4.1,2.1
MOE400,P7,677,c13,5.8,2.4
MOE400,P7,678,c14,4.1,2.3
MOE400,P14,679,c14,6.2,2.7
MOE400,P21,680,c14,7.9,3
MOE400,P28,681,c14,13,3.3
MOE400,P35,682,c14,15.7,3.3
MOE400,P42,683,c14,15,2.4
MOE400,P49,684,c14,16.3,0
MOE400,P56,685,c14,17.5,0
MOE400,P63,686,c14,16.9,0
MOE400,P70,687,c14,17.2,0
MOE400,P77,688,c14,16.9,0
MOE400,P84,689,c14,16.7,0
MOE400,P91,690,c14,17.5,0
MOE400,P98,691,c14,18.2,0
